date,time,tempTemperature,tempFeelsLike,tempDewpoint,tempHumidity,tempPressure,tempVisibility,windDir,tempWindSpeed,tempGustSpeed,tempPrecip,Events,Condition
2017-01-19,4:51 PM,44.1,39.5,33.1,65,30,10,NW,8.1,0,0,None,Overcast
2017-01-19,3:51 PM,44.1,39.5,33.1,65,29.99,10,NW,8.1,0,0,None,Overcast
2017-03-28,5:17 AM,43,39.5,42.1,97,29.97,3,ENE,5.8,0,0.03,Rain,Light Rain
2017-03-28,1:28 PM,43,39.5,42.1,97,29.97,2.5,ESE,5.8,0,0.03,Rain,Light Rain
2017-03-28,6:28 AM,43,39.5,42.1,97,29.97,5,ENE,5.8,0,0,None,Overcast
2017-12-06,2:51 PM,43,39.5,16,34,29.96,10,West,5.8,0,0,None,Clear
2017-03-28,5:51 AM,43,39.5,42.1,97,29.95,4,East,5.8,0,0.05,None,Overcast
2017-03-28,6:51 AM,43,39.5,41,93,29.95,5,ENE,5.8,0,0,None,Overcast
2017-03-28,8:51 AM,44.1,39.5,42.1,93,29.95,5,ENE,8.1,0,0,None,Overcast
2017-03-28,1:51 PM,43,39.5,42.1,97,29.94,5,Variable,5.8,0,0.03,Rain,Light Rain
2017-02-01,10:51 AM,43,39.5,23,45,29.94,10,Variable,5.8,23,0,None,Clear
2017-03-28,12:51 PM,43,39.5,42.1,97,29.93,4,ENE,5.8,0,0.02,Rain,Light Rain
2017-01-21,10:51 AM,43,39.5,41,93,29.88,5,West,5.8,0,0,None,Overcast
2017-02-26,12:51 AM,43,39.5,32,65,29.7,10,Variable,5.8,19.6,0,None,Mostly Cloudy
2017-02-08,11:51 PM,44.1,39.5,30,58,29.7,10,ENE,8.1,0,0,None,Overcast
2017-01-25,10:51 AM,44.1,39.5,28.9,55,29.66,10,West,8.1,20.7,0,None,Clear
2017-12-12,5:12 PM,43,39.5,33.1,68,29.45,10,Variable,5.8,21.9,0,None,Overcast
2017-03-02,12:51 PM,46,39.6,16,30,29.77,10,NW,15,29.9,0,None,Clear
2017-11-19,3:51 PM,46,39.6,26.1,46,29.6,10,NW,15,27.6,0,None,Clear
2017-04-19,6:32 AM,45,39.7,37,74,30.54,10,SE,10.4,18.4,0,None,Mostly Cloudy
2017-03-25,8:47 PM,44.6,39.7,39.2,81,30.38,10,NE,9.2,0,0,None,Overcast
2017-11-20,4:51 PM,45,39.7,23,42,30.07,10,West,10.4,20.7,0,None,Clear
2017-11-20,11:51 AM,45,39.7,21.9,40,30.02,10,West,10.4,21.9,0,None,Mostly Cloudy
2017-11-20,12:51 PM,45,39.7,19.9,37,30.01,10,WNW,10.4,25.3,0,None,Mostly Cloudy
2017-12-06,7:51 AM,45,39.7,23,42,29.96,10,West,10.4,0,0,None,Scattered Clouds
2017-01-22,10:27 PM,45,39.7,41,86,29.83,10,ENE,10.4,21.9,0,None,Overcast
2017-03-02,2:51 PM,45,39.7,15.1,30,29.83,10,NW,10.4,28.8,0,None,Clear
2017-05-13,8:31 PM,45,39.7,44.1,97,29.82,3,NE,10.4,23,0.05,Rain,Light Rain
2017-01-04,9:06 AM,45,39.7,41,86,29.52,6,WSW,10.4,19.6,0,None,Mostly Cloudy
2017-02-20,6:51 PM,46,39.9,12,25,30.3,10,NE,13.8,19.6,0,None,Clear
2017-01-25,1:51 PM,46,39.9,30.9,56,29.65,10,West,13.8,21.9,0,None,Partly Cloudy
2017-01-26,4:51 PM,46,39.9,25,44,29.42,10,WNW,13.8,26.5,0,None,Partly Cloudy
2017-04-07,7:51 AM,46,39.9,34,63,29.33,10,WSW,13.8,21.9,0,None,Overcast
2017-10-30,8:21 AM,46,39.9,42.1,86,29.31,10,WNW,13.8,28.8,0.03,None,Overcast
2017-04-19,5:51 AM,45,40.1,37,74,30.51,10,SSE,9.2,0,0,None,Mostly Cloudy
2017-03-25,10:51 PM,44.1,40.1,39,82,30.38,10,Variable,6.9,0,0,None,Overcast
2017-11-14,5:08 PM,44.1,40.1,34,68,30.31,10,Variable,6.9,0,0,None,Overcast
2017-02-20,7:51 PM,45,40.1,10,24,30.31,10,NE,9.2,0,0,None,Clear
2017-11-15,10:51 AM,44.1,40.1,34,68,30.27,10,ENE,6.9,0,0,None,Partly Cloudy
2017-12-01,7:51 PM,44.1,40.1,28.9,55,30.27,10,Variable,6.9,0,0,None,Clear
2017-01-10,11:01 PM,44.1,40.1,37,76,30.25,10,Variable,6.9,0,0,None,Overcast
2017-12-01,6:51 PM,45,40.1,28.9,53,30.25,10,NNW,9.2,0,0,None,Clear
2017-02-21,2:51 PM,44.1,40.1,30,58,30.24,10,Variable,6.9,17.3,0,None,Clear
